"Papers_Title","Papers_Keywords","Papers_OfficialReview_list2_StrengthandWeak","Papers_OfficialReview_list2_Rating","Papers_OfficialReview_list2_Confidence"
"Mixed-Type Tabular Data Synthesis with Score-based Diffusion in Latent Space","Keywords: Tabular data, tabular generation, diffusion models","The method's efficacy is contingent upon a well-trained VAE. It would be beneficial to compare the outcomes between optimally and sub-optimally trained VAEs, providing insights into worst-case vs. best-case scenarios.
Given the generative capability of VAEs, it would be insightful to see results from data generated solely by the VAE used in this study. The distinction between the paper's transformer-based VAE and TVAE warrants further exploration to determine the independent efficacy of the former.
While adjusting default hyperparameters for a fair comparison is commendable, understanding performance under default settings across consistent training epochs would give a fuller picture. This would ascertain whether hyperparameter enlargement (as done for CTGAN and CoDi) equally benefits the models or favors the presented method disproportionately.
The discrepancy observed where TabDDPM struggles with the News dataset (poor performance in Table 1), yet exhibits a low error rate in Table 2 seems unintuitive. Additionally, given TabDDPM's consistent second-place ranking, except for the News dataset, its fourth-place average rank seems unfair. An alternative could be per-dataset ranking or reporting modal / averaged ranks.
Given that the News dataset is primarily of numeric nature, it seems counterintuitive that TabDDPM, a diffusion based model would underperform on this dataset. It would be beneficial to understand the authors' rationale behind the model's inability to generate meaningful content for this dataset.
The deployment of MLE as a metric for privacy is unconventional. Traditionally, MLE assesses the synthetic data's task-performance equivalence to real data, not privacy leakage. It would be enriching if the authors could shed light on this choice.
Overall, this paper stands out for its meticulous code, articulate presentation, and thorough analysis. I commend the authors for their contribution.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Mixed-Type Tabular Data Synthesis with Score-based Diffusion in Latent Space","Keywords: Tabular data, tabular generation, diffusion models","Model itself seems to be pretty much the same as Vahdat 2021, except that in that paper authors used only images, whereas now tokenization is needed to use the same model. I would like authors to comment on this, and it would really help the paper to be very clear in the Introduction that where the technical novelty lies.","6: marginally above the acceptance threshold","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Mixed-Type Tabular Data Synthesis with Score-based Diffusion in Latent Space","Keywords: Tabular data, tabular generation, diffusion models","The scientific contribution is mostly incremental and expected
The authors claim that no ""unified and comprehensive evaluation"" exists for tabular data synthesis. To my opinion, one weakness of this paper is indeed that it feeds this lack of a unified benchmark by proposing another new benchmark with new metrics that are not used in other papers. Sticking a bit more to previous paper's metrics and datasets could improve that point.
given the size of the appendix, one is surprised to see that no simple baselines like Bayesian Networks or SMOTE are provided in the experiments. SMOTE is known to be a competitive baseline for ""target-conditional"" data generation.
No privacy preservation metrics (like DCR) are provided. No detection test metric (like C2ST) is provided
The absence of hyper-parameters tuning in the benchmark is both laudable and questionable as it may hinder some of the other models (a fair option could be to report the total training time with a fixed budget).","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Phenomenal Yet Puzzling: Testing Inductive Reasoning Capabilities of Language Models with Hypothesis Refinement","Keywords: language model, natural language processing, inductive reasoning","My concern mainly lies in Section 4:
For the example perturbation experiment in section 4.2, there are no studies on how well humans can actually perform on perturbed tasks. It is hard to judge how big the performance drop of LMs is compared with humans.
Experiments in 4.1 and 4.2 are conducted with simple prompting which may not be the most effective method to elicit this type of reasoning from the model.
The generalizability of the findings in 4.3 is doubtful because only one type of prompt is used to generate rules from LM. According to the appendix, example rules on List Fn and MiniARC are generated from LM with a prompt that contains no format instruction. It is unknown whether LMs can generate human-like inductions with more guidance or provided with human-induced rules as few shot examples.
Overall, I believe the main contribution of the paper is an effective inductive reasoning pipeline using LMs. So these are not significant flaws of the paper. So I still recommend acceptance. However, I strongly encourage authors to provide more rigorous evidence when making claims in Section 4.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Phenomenal Yet Puzzling: Testing Inductive Reasoning Capabilities of Language Models with Hypothesis Refinement","Keywords: language model, natural language processing, inductive reasoning","A few of the experiment setups feel a bit contrived - for example, randomly perturbing a set of items in a small set of experiments, of course, makes the task harder for a language model since it also requires it to infer that the noise is noise and not itself a deterministic part of the rule. The section on familiarity of exemplars should also likely mention Dasgupta et al.'s ""Language models show human-like content effects"" there.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Phenomenal Yet Puzzling: Testing Inductive Reasoning Capabilities of Language Models with Hypothesis Refinement","Keywords: language model, natural language processing, inductive reasoning","An analysis of the complexity of the rules used to generate the data would be interesting. Comparing the complexity of the hypothesis across tasks and domains might give some insight into the model performance.
Similarly, the complexity of the human induced and LLM induced rules might be interesting to analyze.
How were the number of examples seen by the model chosen across domains? What is the minimum number of examples needed to learn a rule?
An open source model would make the evaluations more comprehensive.
A separate evaluation for LLMs as symbolic interpreters of rules would help tease apart the rule-proposing / application componenets more. More on complexity: LMs might be bad appliers of complex rules.
Can LLMs apply rules induced by humans?
Is there a change in the types of rules induced if the prompt is changed to encourage communication (since this was what humans seemed to do)? Change prompt to emphasize communication?
MiniAC→MiniARC: 4.3 para1 line 3","8: accept, good paper","5: You are absolutely certain about your assessment. You are very familiar with the related work and checked the math/other details carefully."
"Phenomenal Yet Puzzling: Testing Inductive Reasoning Capabilities of Language Models with Hypothesis Refinement","Keywords: language model, natural language processing, inductive reasoning","The results would be more informative if compared directly with human performance. Do any of these benchmarks contain human performance measures (e.g. I believe that there is already human behavioral data for miniSCAN in the original paper)?
The results on noisy rule induction are especially difficult to interpret without a human baseline. The authors cite a paper indicating that humans are somewhat robust to noise when inducing rules, but the amount of noise and the specific tasks will matter a lot.
Throughout the paper, the authors appeal to intuition concerning putative human performance on the benchmarks they consider (e.g. in considering the potential for human reasoners to show a discrepancy between hypothesis generation and rule application), but intuition is not always a reliable guide regarding human performance. It would be good to qualify these statements a bit more (or, to the extent possible, to include a direct comparison with human performance).
The 'task accuracy' measure seems designed to emphasize the consistency of the symbolic rule application. When looking at raw accuracy, the differences between symbolic and LLM rule application don't look nearly as large. I think this somewhat undermines the claim that their rule application abilities are so much worse than their hypothesis generation abilities.
It should be emphasized more that miniARC, unlike the other tasks, is a distinctly visual task, in that it requires understanding visual concepts like 'objectness'. It is somewhat unsurprising that a text-only model would show special difficulty on such a task.
Do the authors have any explanation for why the hypothesis refinement approach achieves worse performance on miniARC relative to the baselines? Given the visual nature of the task, it's not surprising that it doesn't help much, but I was surprised that it actually seems to impair performance.
The familiarity analysis seems to confound two very different issues: 1) The presence of the same exact problems in the LLM pretraining data (a significant possibility, given the use of pre-existing datasets), and 2) the use of familiar vs. unfamiliar words (e.g. pseudowords). I think it's important to dissociate these concerns. This can be done by creating a new dataset with similar properties, e.g. by replacing the specific pseudowords and colors in miniSCAN (but maintaining the same general pseudoword -> color structure).
Is the interaction between iid vs. ood and IO vs. hypothesis refinement (figure 2) statistically significant? Also, the text describes the hypothesis refinement results as demonstrating superior robustness to this ood setting, but for miniARC the ood accuracy is actually higher for the IO baseline (even though the difference between iid and ood performance is larger for IO). This should be clarified in the text.
Were the language model and human hypotheses systematically compared in any way, or only qualitatively inspected? Did the strength of the language model hypotheses correspond to performance on the task? Were there cases where the model performed well on the task despite providing unhuman-like hypotheses?
Minor comments:
What setting was used for the 'top p' parameter in GPT-4?
It would be helpful to either include the variable names in figure 1, or to have a separate figure illustrating the overall flow of the model with the corresponding variable names.
It would be good to say a bit more about how this work differs from Wang et al (2023). This is concurrent work, so there is no concern about novelty, but it would still be useful to have more discussion of the relationship.
I found the description of the approach somewhat confusing. Based on the abstract and intro, I was expecting that the hypotheses would be articulated in natural language, and this would somehow be translated into code which is then symbolically executed. It is explained later on (in section 2.2) that the LM also carries out this translation step for list functions and miniARC, but it would be good to provide some hint that this is the case earlier in the section describing the approach. My understanding is that for the other tasks, the LM is prompted so as to ensure hypotheses in a particular format, which can then be automatically parsed, is that correct? It would be helpful to clarify this (in section 2 it says that the hypotheses are 'constrained', but it's not immediately clear what that means).
I found this sentence, 'However, they also behave as puzzling inductive reasoners, showing notable performance gaps in rule induction (i.e., identifying plausible rules)…' to be confusing, because it seems to say that LLMs are bad at proposing rules, even though it was just stated that they are good at this. This also seems misaligned with the results. It seems like this sentence should instead emphasize the rule application specifically (though, as mentioned above, it's not clear how significant this discrepancy really is).
The authors might consider citing this related work on analogical reasoning (a special case of inductive reasoning) in LLMs: Webb, T., Holyoak, K. J., & Lu, H. (2023). Emergent analogical reasoning in large language models. Nature Human Behaviour.","8: accept, good paper","5: You are absolutely certain about your assessment. You are very familiar with the related work and checked the math/other details carefully."
"Beyond Weisfeiler-Lehman: A Quantitative Framework for GNN Expressiveness","Keywords: Graph Neural Networks, Expressive Power, Homomorphism, Subgraph Counting, Weisfeiler-Lehman","it's better to have more examples of different kinds of substructures in Theorem 3.3 (and how they are different from each other).
Missing discussion on some previous works: there are many papers proposed to count substructures, and it is not clear how your result is related to them.","8: accept, good paper","5: You are absolutely certain about your assessment. You are very familiar with the related work and checked the math/other details carefully."
"Beyond Weisfeiler-Lehman: A Quantitative Framework for GNN Expressiveness","Keywords: Graph Neural Networks, Expressive Power, Homomorphism, Subgraph Counting, Weisfeiler-Lehman","The presentation is quite dense. It might be beneficial to push Subsection 3.3. to the appendix and expand on the other parts.
The experimental study on real-world datasets is quite limited. It would be nice to see a more refined analysis, e.g., analyzing subgraph occurrences and see if an architecture's performance is correlated to its ability to count different subgraphs.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Beyond Weisfeiler-Lehman: A Quantitative Framework for GNN Expressiveness","Keywords: Graph Neural Networks, Expressive Power, Homomorphism, Subgraph Counting, Weisfeiler-Lehman","I cannot see any major weakness but have one potential minor weakness for the authors:
Although the authors claim that the proposed framework can quantitatively analyze the expressive power of different GNN variants based on the NED, the authors didn’t characterize the exact number of NED that exists for each NED class (share-point/strong/near strong/general NED). Thus, it is still hard to see the quantitative expressive gap between each GNN variant. I understand the exact number could be hard to count but It would be excellent if the authors could at least give a rough scale for each NED class.
I also have a few questions/thoughts in mind when reading the paper. Please see the question section for the details.","10: strong accept, should be highlighted at the conference","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Beyond Weisfeiler-Lehman: A Quantitative Framework for GNN Expressiveness","Keywords: Graph Neural Networks, Expressive Power, Homomorphism, Subgraph Counting, Weisfeiler-Lehman","There seems to be a technical issue with the definition of homomorphism expressivity (Definition 3.1). I believe it can be solved, but requires addressing or further clarification. Specifically,
FM
is not necessarily defined for all models
M
since it does not take into account graphs
F
for which there exist graphs
G
and
H
with equal homomorphism counts with respect to
F
but different representations according to
M
. Homomorphism expressivity of
M
is defined only if no such
F
exists since it cannot be within
FM
and also cannot be outside
FM
. For example, homomorphism expressivity is not defined for a universal architecture as it can assign different representations to any two non-isomorphic graphs.
Is it the case that for the GNNs considered
FM
is always well-defined? This seems to be indicated by Theorem 3.3 and the subsequent discussion, however, it is not clear enough. I strongly recommend elaborating upon this point near the definition to avoid confusion.
Homomorphism expressivity is referred throughout as a “complete” measure. Given that it is not defined for all architectures
M
, I believe this terminology can be misleading.
Homomorphism expressivity suffers from a limitation that also exists in the WL framework: it disregards features of vertices/edges. The proposed expressivity measure takes into account only the ability to capture graph structures, assuming each vertex is associated with a unique discrete label. While identifying graph structure is indeed important, in many cases the features of vertices play an equal, if not more important role (see, e.g., [1]). I do not believe this significantly harms the quality of the current paper, and is perhaps a consideration for future work, but to me referring to homomorphism expressivity as a “complete” measure may require some hedging.
[1] Liu, Renming, et al. ""Towards a Taxonomy of Graph Learning Datasets."" arXiv preprint arXiv:2110.14809 (2021).","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"MathVista: Evaluating Mathematical Reasoning of Foundation Models in Visual Contexts","Keywords: large language models, large multimodal models, mathematical reasoning, vision-language reasoning, foundation models and their evaluations","The results have been completely superseded by GPT-4 Vision, which together with GPT-4 are SotA in vision-language models.
The methods have been superseded by recent prompting methods.
The related work and references are lacking:
a. Prompting:
Phenomenal yet puzzling: Testing inductive reasoning capabilities of language models with hypothesis refinement L. Qiu, L. Jiang, X. Lu, M. Sclar, V. Pyatkin, C. Bhagavatula, B. Wang, Y. Kim, Y. Choi, N. Dziri, X. Ren, 2023.
Hypothesis search: Inductive reasoning with language models, R. Wang, E. Zelikman, G. Poesia, Y. Pu, N. Haber, N. D. Goodman, 2023.
Large language model (LLM) as a system of multiple expert agents: An approach to solve the abstraction and reasoning corpus (ARC) Challenge, J. T. Min, M. Motani, 2023.
b. GPT-4V:
Lost in translation: When GPT-4V(ision) can’t see eye to eye with text, a vision-language-consistency analysis of VLLMs and beyond, X. Zhang, S. Li, Z. Wu, N. Shi, 2023.
c. PoT: Solving Linear Algebra by program synthesis, I. Drori, N. Verma, November 2021. Solving Probability and Statistics problems by probabilistic program synthesis at human level and predicting solvability L. Tang, E. Ke, N. Singh, B. Feng, D. Austin, N. Verma, I. Drori, AIED, 2022. A neural network solves, explains, and generates university math problems by program synthesis and few-shot learning at human level I. Drori, S. Zhang, R. Shuttleworth, L. Tang, A. Lu, E. Ke, K. Liu, L. Chen, S. Tran, N. Cheng, R. Wang, N. Singh, T. L. Patti, J. Lynch, A. Shporer, N. Verma, E. Wu, G. Strang, PNAS, 2022.
The paper lacks a comprehensive discussion of the limitations of the benchmark.
The work is missing an analysis of why specific models perform better than others.
I expect the author response to include GPT-4 Vision results, missing related work and references, and updated methods.","5: marginally below the acceptance threshold","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"MathVista: Evaluating Mathematical Reasoning of Foundation Models in Visual Contexts","Keywords: large language models, large multimodal models, mathematical reasoning, vision-language reasoning, foundation models and their evaluations","For data collection of the 3 new datasets, it is not clear if inter-annotation consistency checks were conducted and how the mentioned ""rigorous review process"" was conducted (details are missing).
Few-shot performance is computed only for LLMs and not LMMs. Given LMMs such as Multimodal-Bard, Flamingo/Open-Flamingo and mPLUG-Owl also support few-shot learning, these can also be evaluated few-shot to better evaluate the benchmark challenges.
Further, LLMs can also be evaluated on a broader range of K-shot settings (currently only 2-shot is evaluated). Evaluation over {2,4,8,16,32} could provide better evidence of whether mathematical reasoning capabilities can be learned in a few-shot manner.
Relatively minor:
Benchmark is relatively small (6141 examples) and meant as an evaluation benchmark primarily drawn from existing datasets (5405 examples) with no finetuning subset which could be useful for improving mathematical reasoning capabilities of current models.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"MathVista: Evaluating Mathematical Reasoning of Foundation Models in Visual Contexts","Keywords: large language models, large multimodal models, mathematical reasoning, vision-language reasoning, foundation models and their evaluations","How to disentangle the visual understanding ability or text understanding ability with the math reasoning ability? For example, if a model incorrectly answers “how many cars are to the left of the tree”, it could be the error in spatial understanding (failing to find the cars on the left), or error in counting, or the model cannot understand this question. In the current form of the dataset, there is no disentangled evaluation of the visual/text understanding versus math reasoning. A possible way to address this questions could be having the annotations for rationales (results of intermediate reasoning steps or sub-questions), and evaluate the model’s performance against the intermediate steps.
Why is the human accuracy only 60.3% on the dataset? Does this suggest that the dataset is noisy, containing ambiguous/uncertain cases, or simply the task is very difficult thus humans are not good at it as well? An analysis on the 40% of the data where humans cannot answer correctly will be preferred.
While it is good that the paper defines 7 types of fine-grained reasoning ability, what are the take-away messages (of Tab-2) that can be derived with the differences in the 7 types? It would be nice if the expertise of different models can be reflected using the fine-grained types, besides that Bard is the best model
Results of GPT-4V? I understand that the model is not released by the submission deadline, but it would be good to have the results in later versions.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"MathVista: Evaluating Mathematical Reasoning of Foundation Models in Visual Contexts","Keywords: large language models, large multimodal models, mathematical reasoning, vision-language reasoning, foundation models and their evaluations","W1. A potential downside of the chosen tasks is that they ""amalgamate"" mathematical and visual reasoning (as stated in the abstract). This does not seem desirable since one would usually also wants to understand the capabilities of a model for these two steps (visual understanding and reasoning) independently. The argument that there exists other benchmarks that do look at these individual capabilities means that this is however not a critical issue.
W2. The low human performance on the benchmark (~60% accuracy) is concerning. Could this indicate an issue with data quality of annotation noise? (rather than intrinsic task difficulty)","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Protein Discovery with Discrete Walk-Jump Sampling","Keywords: generative modeling, langevin mcmc, energy-based models, score-based models, protein design, protein discovery","(-) Only a single task (antibody design) is evaluated. Testing on other protein classes or discrete domains would be useful.
(-) The distributional conformity score for evaluation is introduced late with little detail. More motivation and analysis would improve clarity. Certain details are unclear, like how sequences are aligned and handled.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Protein Discovery with Discrete Walk-Jump Sampling","Keywords: generative modeling, langevin mcmc, energy-based models, score-based models, protein design, protein discovery","While the paper touts the simplification to a single hyperparameter choice (noise level, σ) as a strength, it might also be seen as a limitation since the entire model's performance could be sensitive to this single parameter.
Set of properties includes both continuous, binary, and discrete values and estimating the distribution by a kernel density approach may not be very effective. Also DCS may be overly influenced by outliers and extreme data points in the dataset.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Protein Discovery with Discrete Walk-Jump Sampling","Keywords: generative modeling, langevin mcmc, energy-based models, score-based models, protein design, protein discovery","Some of the comparisons to autoregressive language models (LMs) were a bit under-developed. For example, the paper mentions fast mixing sampling, but this is trivial for LMs. Second, LMs provide a natural way to condition on metadata; how would the current model do that? Finally, claims that LM sampling is expensive in terms of compute aren't that compelling, since for these antibody design applications the wet-lab experiments are orders of magnitude more expensive than the compute to generate the library.
The 'distributional conformity scores' (DCS) section was interesting and cool, but not central to the paper and felt like a way to add extra math into the paper. Please clarify: was this used to filter any of the samples for the wet-lab experiments or was it only used to provide the rightmost column in Table 2? Given that your proposed does not have strong DCS scores compared to some other baselines, how should I be interpreting these results? Overall, I would recommend removing the DCS content and allocating more space in the main paper to details/derivations of the model fitting/sampling.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"ExeDec: Execution Decomposition for Compositional Generalization in Neural Program Synthesis","Keywords: Program Synthesis, Programming By Example, Generalization, Compositional Generalization","The two datasets are small domain-specific tasks, thus the evaluation does not really show the promise of scalability, which is the original motivation.
I/O-based specifications are not easy to construct -- both intermediate states and output states may vary significantly from the initial given I/O examples. For instance, intermediate states may involve auxiliary temporary variables, and the output states may have to be adjusted according to the actual application domains.
Both DSLs seem simple straight-line code, and there are no recursion, loops, or if-else conditions, all of which are important components to construct a realistic large program.
Creating a good training dataset for decomposition tasks can be very challenging. Particularly, there are many valid solutions, which may have quite different intermediate sub-goals. Supervising only one specific solution would be problematic.","6: marginally above the acceptance threshold","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"ExeDec: Execution Decomposition for Compositional Generalization in Neural Program Synthesis","Keywords: Program Synthesis, Programming By Example, Generalization, Compositional Generalization","In the intro there's a mention of how compositional generalization ""has not previously been studied in the context of programming by example"" and later in the related work a mention of how there's ""less work on systematic generalization for machine learning for code, although Bieber et al. (2020) studies length generalization""
While both systematic generalization and specifically compositional generalization are understudied in program synthesis, there are a few other citations that apply to each of these places.
First, the DeepCoder paper (Balog 2017) actually evaluates on length generalization (section 5.2 of that paper).
Nye et al 2021 (""Representing Partial Programs with Blended Abstract Semantics"") has some compositional generalization evaluation as well, such as the excerpt from section 5.1 ""Tower objects seen during training were composed in previously unseen ways...""
Ellis et al 2019 Program Synthesis in a REPL (already cited here) also applies for length generalization, eg the line from 4.2 ""Although it was trained on programs whose maximum length was 30 actions and average length approximately 8 actions, during test time we regularly achieved programs with 40 actions or more""
Just adding those citations in the appropriate places would strengthen this. To be clear, ExeDec's formalization of generalization and range of types of generalization go far beyond any of this prior work, but it's important to acknowledge that there have been some explorations of some of these kinds of generalization in the past.
Aside from this point, I think the related work citations are quite thorough and well done
How often are proposed subgoals actually achieved? Are they achieved more along a successful synthesis path than an unsuccessful one, on average? Some quantitative insights into these sorts of questions would strengthen the paper.
The results are decent but not extremely strong – in my opinion they're good enough but of course stronger results would help.
The idea mentioning in the Limitations section of how subgoals that are not just line-by-line but which could instead correspond to more than one line is one that immediately came to mind. Of course, fully generally doing that kind of generic hierarchical decomposition of a problem into subproblems is something of a holy grail in synthesis, and I think that this fairly limited form of subproblem is a reasonable step, so this is not a huge weakness.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"ExeDec: Execution Decomposition for Compositional Generalization in Neural Program Synthesis","Keywords: Program Synthesis, Programming By Example, Generalization, Compositional Generalization","The main limitations are that the method requires supervision for the sub-goals and that the experiments are limited to synthetic programs, as acknowledged by the authors in the limitations section. I can see that an unsupervised approach to predicting subgoals constitutes its own paper, but I think it'd still be interesting to see how the method fares with different decompositions. For example, picking
n
lines per subprogram, or randomly grouping multiple lines into a subprogram.
The experiments cover both the training from scratch scenario and a pre-trained LLM. The middle ground of finetuning a pre-trained LLM would be interesting to see. Here the same LLM could be used for the different models via different prompts (similar to the few-shot setting) and trained like the from-scratch setting. Since the benchmark intends to measure generalization and considering the importance of pre-training on the generalization performance, I believe this is an important additional experiment.
ExeDec requires subgoals which are essentially execution traces as supervision. It'd be interesting to see how the Transformer baseline performs when it also has access to them (for example by inserting the variable values after/before each program line). This baseline would further clarify the importance of training with intermediate program states versus decomposing the program into parts that are individually generated.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"ExeDec: Execution Decomposition for Compositional Generalization in Neural Program Synthesis","Keywords: Program Synthesis, Programming By Example, Generalization, Compositional Generalization","The benchmark introduced in Sections 2 and 3 is claimed as a novel contribution (""we introduce a new meta-benchmark for measuring the compositional generalization abilities of program synthesizers.""). However, it is very hard to tell from these descriptions the actual contents and novelty of the benchmark. I was ultimately able to get a better understanding from reading the evaluation and Appendix B, but in isolation the clarity of these sections are very low.
The implications of the loop in Algorithm 1 are not sufficiently discussed:
What happens if the loop never terminates?
What is the comparison in FLOPs between the ExeDec models and the baseline models (including the beam search, etc)? Even if the parameter count is the same, the loop in ExeDec could give these models significantly more power than the Transformer / Latent Programmer baselines.","6: marginally above the acceptance threshold","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Batched Low-Rank Adaptation of Foundation Models","Keywords: LLM Adaptation, Low-rank, Code Generation","The approach requires re-adapting the models that have already been adapted with LORA to leverage the improvements. There is a breaking point where FLORA doesn't improve over LORA effectively. Intuitively, there is at least 4 factors for this: the model, the gpu architecture, the rank of the adaptation and the batch size . The rank is taken into account but it is not very clear how the other elements will come into play in practice. Eq 7 claims only important factors are the dimension of the multiplication the constants for MM and BMM and the rank. However, it is difficult to understand why this should be the case for batch size 1 in contrast to a larger batch size. Computing some plots in this area would have been very helpful to grasp how the theoretical analysis transfer to the practical scenarios.. Another example of this would be computing per token and example adapters , which is the extreme case. It would have been interesting for latency and throughput curves to see such an extreme case, even though there is no such a real task. The section 3.1 is confusing in its current form and a rewrite paying attention to the Matrix and elementwise operations would improve readability. Given the constrains of the approach regarding the low-rank dimension, the applicability of the approach is limited to some specific scenarios which could have already been taken care on the base LLM pretraining. For instance, for the multilingual case the models could have already specific sparsely activated components given the language category or the programing language from the beginning.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Batched Low-Rank Adaptation of Foundation Models","Keywords: LLM Adaptation, Low-rank, Code Generation","I don’t find major weaknesses. Minor comments are indicated in the following section.","8: accept, good paper","2: You are willing to defend your assessment, but it is quite likely that you did not understand the central parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Batched Low-Rank Adaptation of Foundation Models","Keywords: LLM Adaptation, Low-rank, Code Generation","If each example in a minibatch has its own adapters, the overall performance is expected to overcome LoRA, however, it's almost the same as LoRA. So the ""performance bottleneck in scenarios requiring personalized, task-specific adaptations for each incoming request"" isn't largely solved.
The whole mechanism and the algorithm isn't mentioned clearly. e.g., how to choose the batch size for real situations, how to make each example corresponding to its appropriate adapters during inference. The paper over-concentrates on Fomulation and Computational Efficiency, while the high-level algorithm--the whole process is not quite clear.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Batched Low-Rank Adaptation of Foundation Models","Keywords: LLM Adaptation, Low-rank, Code Generation","Some parts of the paper are not clear (see comments below).","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Improved Active Learning via Dependent Leverage Score Sampling","Keywords: leverage score sampling, active learning, polynomial regression, differential equations, pivotal sampling","My main concerns are stated below and are related with the technical novelty of the results of the analysis of Theorems~1.1 and 1.2. The experimental section is sufficient for the demonstration of the approach, yet it could be elaborated to the higher-dimensional problems.","8: accept, good paper","2: You are willing to defend your assessment, but it is quite likely that you did not understand the central parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Improved Active Learning via Dependent Leverage Score Sampling","Keywords: leverage score sampling, active learning, polynomial regression, differential equations, pivotal sampling","— The empirical evaluation lacks clarity regarding the improvements. The authors should explicitly state the claimed 50% reduction in samples in the technical sections.
— The theoretical improvements are solely for polynomial regression, which is essentially linear regression with an infinite number of rows. It would be interesting to explore whether the pivotal sampling method has other implications for different norms. For instance, can this ""tournament"" style technique be applied to all norms and their respective optimal sampling strategies?
— The selection of the tree in Algorithm 1 significantly impacts the performance of the sampling method. If the running time is a major concern in large-scale systems or datasets, it isn’t clear if a PCA-based approach is always feasible.","n/A","6: marginally above the acceptance threshold"
"Improved Active Learning via Dependent Leverage Score Sampling","Keywords: leverage score sampling, active learning, polynomial regression, differential equations, pivotal sampling","a. My primary concern pertains to the computational complexity of the proposed method. The paper lacks both theoretical analysis and empirical results in this regard, leaving an important aspect unaddressed.
b. The experimental setup in the paper includes only a single baseline, and it would be beneficial to include additional baseline methods, such as maximum leverage score sampling.","6: marginally above the acceptance threshold","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
